id,style_id,name,brand_id,category_id,supplier_id,description,spec_sheet_url,px_per_in_default,calibrated,default_image_id,external_json,created_at,updated_at,,
111c6ded-76bf-4fc4-bd4b-b80b30fb0509,CS208,CornerStone ANSI 107 Class 3 Long Sleeve Segmented Tape Hooded Tee CS208,f52fb397-21f4-4c1f-8fcf-706dc9ea1a4b,4272d421-4272-47b2-927a-5f5962bb979a,,,https://docs.companycasuals.com/productspecifications/SpecSheetMeasurements_CS208.pdf,,FALSE,,{},2025-09-09 02:35:48.441169+00,2025-09-09 02:35:48.441169+00,,
3c31cd1c-b565-4837-a707-eecb286cb3da,PC61,Port & Co Essential Tee. PC61,7b2bec3d-1164-4f19-81a1-d841d3d60c6a,643a3d6a-68b3-4b2b-bfd4-e7ff66776a35,,,https://docs.companycasuals.com/productspecifications/SpecSheetMeasurements_PC61.pdf,26.2784,TRUE,,{},2025-09-09 01:56:13.965836+00,2025-09-09 05:00:55.457293+00,,
59529e5f-bf13-475a-871c-97b5ff9ffb59,59529e5f-bf13-475a-871c-97b5ff9ffb60,59529e5f-bf13-475a-871c-97b5ff9ffb61,59529e5f-bf13-475a-871c-97b5ff9ffb62,59529e5f-bf13-475a-871c-97b5ff9ffb63,59529e5f-bf13-475a-871c-97b5ff9ffb64,59529e5f-bf13-475a-871c-97b5ff9ffb65,59529e5f-bf13-475a-871c-97b5ff9ffb66,59529e5f-bf13-475a-871c-97b5ff9ffb67,59529e5f-bf13-475a-871c-97b5ff9ffb68,59529e5f-bf13-475a-871c-97b5ff9ffb69,59529e5f-bf13-475a-871c-97b5ff9ffb70,59529e5f-bf13-475a-871c-97b5ff9ffb71,59529e5f-bf13-475a-871c-97b5ff9ffb72,59529e5f-bf13-475a-871c-97b5ff9ffb73,59529e5f-bf13-475a-871c-97b5ff9ffb74
5cd2ece2-8d98-46fc-93ed-a08d2d56e473,6030,COMFORT COLORS Heavyweight Ring Spun Pocket Tee. 6030,7ff89935-0fb5-4398-b09f-26845a3835d1,643a3d6a-68b3-4b2b-bfd4-e7ff66776a35,,,https://docs.companycasuals.com/productspecifications/SpecSheetMeasurements_6030.pdf,,FALSE,,{},2025-09-09 03:52:33.323649+00,2025-09-09 03:52:33.323649+00,,
6a230e7a-d6a1-4763-8459-4577aa3b68da,CSJ42,CornerStone Duck Fleece Full-Zip Hooded Jacket CSJ42,f52fb397-21f4-4c1f-8fcf-706dc9ea1a4b,efd3d9d1-b6a8-495a-aa46-108dd5271fab,,,https://docs.companycasuals.com/productspecifications/SpecSheetMeasurements_CSJ42.pdf,24.8816,TRUE,,{},2025-09-09 02:31:40.169513+00,2025-09-09 02:53:53.765919+00,,
